"INVOICE_CODE","ITEM_CODE","AMOUNT","QUANTITY"
"IN0787127","PUCCHO","189.15","388"
"IN0125576","PUCCHO","118.46","243"
"IN0442527","MEIJI","44.6","59"
"IN0505559","POCKY","12.77","307"
"IN0240159","POCKY","6.99","168"
"IN0936609","PUCCHO","94.09","193"
"IN0814357","MEIJI","292.57","387"
"IN0263814","POCKY","14.81","356"
"IN0358258","POCKY","11.65","280"
"IN0249416","POCKY","2.0","48"
"IN0626138","MEIJI","237.38","314"
"IN0370222","POCKY","18.84","453"
"IN0794507","MEIJI","57.46","76"
"IN0548510","PUCCHO","238.39","489"
"IN0148003","PUCCHO","216.94","445"
"IN0720624","MEIJI","168.59","223"
"IN0181326","POCKY","7.49","180"
"IN0754488","MEIJI","235.87","312"
"IN0347040","POCKY","14.93","359"
"IN0598420","MEIJI","74.84","99"
"IN0240708","PUCCHO","53.62","110"
"IN0572107","PUCCHO","219.38","450"
"IN0271479","MEIJI","135.32","179"
"IN0633740","MEIJI","117.18","155"
"IN0133006","PUCCHO","141.38","290"
"IN0665483","MEIJI","293.33","388"
"IN0077189","MEIJI","328.86","435"
"IN0381403","POCKY","0.75","18"
"IN0771557","MEIJI","362.12","479"
"IN0634278","POCKY","5.03","121"
"IN0643741","MEIJI","375.73","497"
"IN0184304","POCKY","18.26","439"
"IN0708124","POCKY","20.76","499"
"IN0568213","MEIJI","307.69","407"
"IN0628538","POCKY","13.73","330"
"IN0590210","POCKY","9.11","219"
"IN0308962","POCKY","12.15","292"
"IN0174081","MEIJI","82.4","109"
"IN0907697","PUCCHO","112.12","230"
"IN0698319","POCKY","12.4","298"
"IN0886892","POCKY","7.7","185"
"IN0228588","MEIJI","173.88","230"
"IN0812917","POCKY","12.4","298"
"IN0657186","PUCCHO","154.05","316"
"IN0887220","MEIJI","217.73","288"
"IN0545047","POCKY","2.75","66"
"IN0665162","PUCCHO","17.06","35"
"IN0392309","MEIJI","340.96","451"
"IN0155669","PUCCHO","134.55","276"
"IN0420305","POCKY","9.65","232"
"IN0703010","PUCCHO","81.9","168"
"IN0141257","MEIJI","299.38","396"
"IN0066826","POCKY","7.2","173"
"IN0779255","MEIJI","271.4","359"
"IN0235801","POCKY","9.19","221"
"IN0837973","PUCCHO","42.9","88"
"IN0317165","POCKY","17.31","416"
"IN0446332","POCKY","9.07","218"
"IN0222177","PUCCHO","217.91","447"
"IN0363464","POCKY","9.61","231"
"IN0090401","PUCCHO","41.92","86"
"IN0840186","PUCCHO","36.56","75"
"IN0425404","MEIJI","90.72","120"
"IN0366675","POCKY","8.86","213"
"IN0970391","MEIJI","158.76","210"
"IN0843309","PUCCHO","75.08","154"
"IN0087048","POCKY","3.16","76"
"IN0761256","POCKY","2.2","53"
"IN0737001","POCKY","20.76","499"
"IN0315454","PUCCHO","75.08","154"
"IN0823806","MEIJI","229.82","304"
"IN0603065","POCKY","10.65","256"
"IN0673414","POCKY","1.83","44"
"IN0049287","POCKY","18.22","438"
"IN0475707","PUCCHO","142.84","293"
"IN0538656","POCKY","11.86","285"
"IN0832878","MEIJI","213.95","283"
"IN0123434","PUCCHO","93.11","191"
"IN0421274","MEIJI","111.13","147"
"IN0428228","MEIJI","128.52","170"
"IN0066580","PUCCHO","103.35","212"
"IN0839527","POCKY","18.51","445"
"IN0860204","PUCCHO","5.85","12"
"IN0299823","PUCCHO","43.88","90"
"IN0759410","PUCCHO","108.22","222"
"IN0969701","POCKY","18.47","444"
"IN0990345","PUCCHO","128.21","263"
"IN0765527","POCKY","20.59","495"
"IN0516736","POCKY","20.47","492"
"IN0217846","PUCCHO","54.6","112"
"IN0510216","PUCCHO","59.96","123"
"IN0100663","MEIJI","228.31","302"
"IN0014932","POCKY","17.51","421"
"IN0862523","MEIJI","259.31","343"
"IN0697220","PUCCHO","217.42","446"
"IN0745836","PUCCHO","241.8","496"
"IN0860974","POCKY","1.71","41"
"IN0287354","POCKY","9.57","230"
"IN0136708","PUCCHO","134.06","275"
"IN0832741","POCKY","13.64","328"
"IN0656669","MEIJI","351.54","465"
"IN0695697","MEIJI","341.71","452"
"IN0027764","MEIJI","322.81","427"
"IN0985735","MEIJI","76.36","101"
"IN0625387","PUCCHO","171.6","352"
"IN0034409","PUCCHO","231.56","475"
"IN0332724","POCKY","17.8","428"
"IN0841845","PUCCHO","237.41","487"
"IN0751808","PUCCHO","153.56","315"
"IN0709583","MEIJI","99.79","132"
"IN0723392","PUCCHO","11.21","23"
"IN0522159","POCKY","6.16","148"
"IN0218780","POCKY","11.27","271"
"IN0816609","POCKY","15.72","378"
"IN0010000","POCKY","1.0","24"
"IN0116561","MEIJI","57.46","76"
"IN0160508","POCKY","14.27","343"
"IN0297686","MEIJI","126.25","167"
"IN0143067","PUCCHO","0.49","1"
"IN0369480","POCKY","3.37","81"
"IN0216419","PUCCHO","103.35","212"
"IN0930479","MEIJI","369.68","489"
"IN0271524","MEIJI","192.02","254"
"IN0370360","MEIJI","213.19","282"
"IN0910479","POCKY","15.81","380"
"IN0201767","POCKY","11.15","268"
"IN0647952","POCKY","10.9","262"
"IN0510724","PUCCHO","212.55","436"
"IN0329052","MEIJI","260.06","344"
"IN0208692","MEIJI","24.19","32"
"IN0056372","MEIJI","79.38","105"
"IN0669307","MEIJI","200.34","265"
"IN0002628","MEIJI","288.04","381"
"IN0478597","PUCCHO","43.39","89"
"IN0885428","MEIJI","232.85","308"
"IN0092825","PUCCHO","114.08","234"
"IN0069194","MEIJI","25.7","34"
"IN0595676","PUCCHO","221.81","455"
"IN0678677","POCKY","4.83","116"
"IN0944921","PUCCHO","84.83","174"
"IN0076468","POCKY","20.68","497"
"IN0795125","POCKY","14.77","355"
"IN0604788","PUCCHO","216.45","444"
"IN0045712","PUCCHO","196.46","403"
"IN0400079","PUCCHO","199.88","410"
"IN0273561","MEIJI","177.66","235"
"IN0220298","MEIJI","246.46","326"
"IN0842040","MEIJI","21.92","29"
"IN0882642","MEIJI","342.47","453"
"IN0186715","MEIJI","267.62","354"
"IN0426943","MEIJI","287.28","380"
"IN0347504","POCKY","6.45","155"
"IN0334361","POCKY","5.78","139"
"IN0032038","POCKY","14.73","354"
"IN0214061","PUCCHO","227.66","467"
"IN0657667","PUCCHO","225.22","462"
"IN0038814","MEIJI","131.54","174"
"IN0093531","PUCCHO","222.79","457"
"IN0511604","MEIJI","179.93","238"
"IN0418903","POCKY","16.72","402"
"IN0571476","PUCCHO","129.19","265"
"IN0779288","PUCCHO","11.7","24"
"IN0582699","POCKY","10.07","242"
"IN0019642","MEIJI","48.38","64"
"IN0609758","PUCCHO","231.56","475"
"IN0607955","PUCCHO","73.61","151"
"IN0604249","PUCCHO","89.7","184"
"IN0093531","POCKY","0.04","1"
"IN0026420","PUCCHO","45.82","94"
"IN0649542","POCKY","2.04","49"
"IN0656174","PUCCHO","27.79","57"
"IN0526480","MEIJI","163.3","216"
"IN0000549","PUCCHO","61.42","126"
"IN0122365","MEIJI","297.11","393"
"IN0532038","PUCCHO","124.8","256"
"IN0664055","MEIJI","117.18","155"
"IN0367496","POCKY","3.08","74"
"IN0813788","PUCCHO","50.7","104"
"IN0103436","PUCCHO","80.92","166"
"IN0573860","MEIJI","219.24","290"
"IN0669361","POCKY","9.4","226"
"IN0568242","PUCCHO","221.81","455"
"IN0075841","PUCCHO","31.69","65"
"IN0545265","MEIJI","318.28","421"
"IN0095373","PUCCHO","57.04","117"
"IN0077713","PUCCHO","146.25","300"
"IN0246519","MEIJI","318.28","421"
"IN0567610","PUCCHO","110.66","227"
"IN0835114","MEIJI","62.75","83"
"IN0667646","POCKY","10.44","251"
"IN0250980","PUCCHO","151.61","311"
"IN0834137","MEIJI","8.32","11"
"IN0143157","PUCCHO","150.15","308"
"IN0005489","MEIJI","123.23","163"
"IN0441664","POCKY","9.28","223"
"IN0935989","POCKY","1.37","33"
"IN0495309","MEIJI","362.88","480"
"IN0625031","PUCCHO","33.15","68"
"IN0975761","MEIJI","257.8","341"
"IN0350503","POCKY","0.79","19"
"IN0872841","POCKY","7.9","190"
"IN0625235","MEIJI","186.73","247"
"IN0302000","POCKY","17.97","432"
"IN0626693","PUCCHO","54.11","111"
"IN0703010","MEIJI","128.52","170"
"IN0313360","POCKY","1.25","30"
"IN0615138","POCKY","1.37","33"
"IN0658339","MEIJI","41.58","55"
"IN0554970","POCKY","13.31","320"
"IN0744375","MEIJI","103.57","137"
"IN0090459","MEIJI","17.39","23"
"IN0195345","PUCCHO","203.78","418"
"IN0370300","POCKY","5.53","133"
"IN0835888","MEIJI","168.59","223"
"IN0284819","PUCCHO","221.81","455"
"IN0880199","PUCCHO","17.06","35"
"IN0045372","PUCCHO","121.39","249"
"IN0212613","MEIJI","209.41","277"
"IN0175975","MEIJI","300.13","397"
"IN0396638","MEIJI","354.56","469"
"IN0696955","PUCCHO","19.99","41"
"IN0610294","MEIJI","59.72","79"
"IN0951199","POCKY","20.09","483"
"IN0552044","PUCCHO","108.22","222"
"IN0074396","PUCCHO","150.15","308"
"IN0340133","PUCCHO","58.5","120"
"IN0531098","PUCCHO","111.64","229"
"IN0034409","MEIJI","276.7","366"
"IN0602276","POCKY","14.27","343"
"IN0188812","POCKY","19.26","463"
"IN0379082","POCKY","16.02","385"
"IN0102705","POCKY","0.37","9"
"IN0065330","MEIJI","151.96","201"
"IN0881675","POCKY","1.79","43"
"IN0850026","PUCCHO","219.38","450"
"IN0130300","MEIJI","105.84","140"
"IN0311262","PUCCHO","58.99","121"
"IN0188337","MEIJI","222.26","294"
"IN0412869","MEIJI","54.43","72"
"IN0689689","MEIJI","359.86","476"
"IN0882678","PUCCHO","216.45","444"
"IN0877302","POCKY","13.85","333"
"IN0353461","POCKY","4.74","114"
"IN0024508","MEIJI","332.64","440"
"IN0136924","POCKY","8.07","194"
"IN0088670","POCKY","17.14","412"
"IN0086176","POCKY","14.35","345"
"IN0452304","MEIJI","229.07","303"
"IN0546203","POCKY","12.31","296"
"IN0296088","MEIJI","344.74","456"
"IN0117927","POCKY","14.81","356"
"IN0800127","MEIJI","338.69","448"
"IN0509559","MEIJI","103.57","137"
"IN0624430","MEIJI","269.89","357"
"IN0956558","POCKY","7.74","186"
"IN0920499","POCKY","17.01","409"
"IN0818524","PUCCHO","65.81","135"
"IN0734049","PUCCHO","147.71","303"
"IN0568012","MEIJI","148.18","196"
"IN0657245","POCKY","0.25","6"
"IN0495800","MEIJI","309.96","410"
"IN0332179","MEIJI","305.42","404"
"IN0586739","MEIJI","27.97","37"
"IN0704822","POCKY","0.67","16"
"IN0842659","PUCCHO","77.51","159"
"IN0906174","POCKY","9.32","224"
"IN0335507","POCKY","1.21","29"
"IN0564500","POCKY","19.05","458"
"IN0591192","PUCCHO","190.12","390"
"IN0910333","POCKY","1.37","33"
"IN0321275","POCKY","9.03","217"
"IN0362978","MEIJI","317.52","420"
"IN0914927","MEIJI","303.16","401"
"IN0118159","MEIJI","195.05","258"
"IN0322122","MEIJI","247.97","328"
"IN0960990","PUCCHO","175.99","361"
"IN0055747","PUCCHO","195.49","401"
"IN0694245","POCKY","5.2","125"
"IN0768823","POCKY","12.69","305"
"IN0227726","PUCCHO","210.6","432"
"IN0396873","MEIJI","286.52","379"
"IN0164102","PUCCHO","18.52","38"
"IN0029853","MEIJI","292.57","387"
"IN0059100","PUCCHO","55.57","114"
"IN0206260","POCKY","14.39","346"
"IN0224160","MEIJI","146.66","194"
"IN0813062","POCKY","19.97","480"
"IN0022680","POCKY","5.53","133"
"IN0438439","MEIJI","273.67","362"
"IN0857283","MEIJI","111.13","147"
"IN0255011","PUCCHO","78.97","162"
"IN0944921","MEIJI","209.41","277"
"IN0003447","PUCCHO","100.91","207"
"IN0805328","MEIJI","266.11","352"
"IN0522097","PUCCHO","215.96","443"
"IN0958900","MEIJI","300.89","398"
"IN0907643","PUCCHO","6.83","14"
"IN0737766","MEIJI","92.23","122"
"IN0998680","POCKY","6.66","160"
"IN0623701","POCKY","6.74","162"
"IN0921639","POCKY","11.48","276"
"IN0665968","MEIJI","273.67","362"
"IN0592575","PUCCHO","146.74","301"
"IN0502532","MEIJI","373.46","494"
"IN0135502","POCKY","5.87","141"
"IN0509954","PUCCHO","195.0","400"
"IN0860709","MEIJI","313.74","415"
"IN0140344","MEIJI","41.58","55"
"IN0322224","MEIJI","1.51","2"
"IN0098636","MEIJI","55.94","74"
"IN0177324","POCKY","14.02","337"
"IN0109783","PUCCHO","104.81","215"
"IN0965604","POCKY","14.48","348"
"IN0569034","POCKY","10.86","261"
"IN0640553","POCKY","7.03","169"
"IN0896984","MEIJI","274.43","363"
"IN0659187","POCKY","9.78","235"
"IN0343039","MEIJI","204.88","271"
"IN0892183","PUCCHO","44.85","92"
"IN0774131","MEIJI","127.76","169"
"IN0187143","POCKY","15.97","384"
"IN0277378","PUCCHO","209.62","430"
"IN0959610","MEIJI","222.26","294"
"IN0117980","PUCCHO","113.1","232"
"IN0812233","MEIJI","61.99","82"
"IN0100728","MEIJI","21.17","28"
"IN0693783","POCKY","8.94","215"
"IN0023682","POCKY","0.96","23"
"IN0752262","MEIJI","333.4","441"
"IN0863644","POCKY","8.03","193"
"IN0603012","MEIJI","179.17","237"
"IN0097840","PUCCHO","90.19","185"
"IN0284311","MEIJI","32.51","43"
"IN0738101","POCKY","10.9","262"
"IN0330266","POCKY","1.04","25"
"IN0953739","PUCCHO","116.51","239"
"IN0816469","POCKY","16.39","394"
"IN0195288","POCKY","6.78","163"
"IN0882150","POCKY","11.27","271"
"IN0391388","POCKY","12.4","298"
"IN0314791","POCKY","4.08","98"
"IN0507976","PUCCHO","183.79","377"
"IN0897828","PUCCHO","231.56","475"
"IN0085273","POCKY","1.41","34"
"IN0549845","POCKY","5.41","130"
"IN0710164","POCKY","4.74","114"
"IN0320842","PUCCHO","168.67","346"
"IN0288273","PUCCHO","9.26","19"
"IN0999528","POCKY","17.68","425"
"IN0981267","POCKY","15.02","361"
"IN0639210","POCKY","1.87","45"
"IN0064747","POCKY","3.45","83"
"IN0028884","POCKY","15.72","378"
"IN0206000","POCKY","2.58","62"
"IN0322592","MEIJI","182.95","242"
"IN0664345","MEIJI","284.26","376"
"IN0046606","POCKY","1.25","30"
"IN0199646","PUCCHO","86.77","178"
"IN0441416","POCKY","5.95","143"
"IN0180000","MEIJI","42.34","56"
"IN0917736","PUCCHO","139.42","286"
"IN0533916","POCKY","10.9","262"
"IN0579530","PUCCHO","168.67","346"
"IN0016751","MEIJI","38.56","51"
"IN0041958","POCKY","10.9","262"
"IN0477220","POCKY","13.4","322"
"IN0325328","PUCCHO","231.07","474"
"IN0215289","PUCCHO","204.75","420"
"IN0892881","PUCCHO","21.94","45"
"IN0892755","MEIJI","336.42","445"
"IN0058722","MEIJI","182.2","241"
"IN0165318","MEIJI","131.54","174"
"IN0190272","POCKY","13.98","336"
"IN0829544","POCKY","11.23","270"
"IN0648021","POCKY","3.87","93"
"IN0115904","POCKY","16.18","389"
"IN0665035","MEIJI","133.81","177"
"IN0581903","POCKY","17.8","428"
"IN0868036","POCKY","17.76","427"
"IN0299746","MEIJI","353.05","467"
"IN0926117","POCKY","20.72","498"
"IN0999302","POCKY","6.28","151"
"IN0118689","PUCCHO","195.49","401"
"IN0513503","POCKY","12.81","308"
"IN0835856","POCKY","7.57","182"
"IN0421951","POCKY","9.65","232"
"IN0157434","POCKY","10.86","261"
"IN0451032","POCKY","6.99","168"
"IN0916441","MEIJI","285.01","377"
"IN0293365","POCKY","4.16","100"
"IN0893205","PUCCHO","135.04","277"
"IN0931807","PUCCHO","180.86","371"
"IN0719695","MEIJI","323.57","428"
"IN0357763","POCKY","3.54","85"
"IN0503966","POCKY","3.58","86"
"IN0414243","MEIJI","157.25","208"
"IN0406656","POCKY","7.16","172"
"IN0867874","POCKY","3.37","81"
"IN0072964","POCKY","2.41","58"
"IN0604604","MEIJI","214.7","284"
"IN0625684","PUCCHO","156.49","321"
"IN0856221","POCKY","20.13","484"
"IN0827859","PUCCHO","87.75","180"
"IN0461967","MEIJI","58.21","77"
"IN0440155","PUCCHO","150.15","308"
"IN0215380","POCKY","18.64","448"
"IN0517429","POCKY","5.74","138"
"IN0184246","PUCCHO","27.3","56"
"IN0178833","PUCCHO","201.82","414"
"IN0069048","MEIJI","361.37","478"
"IN0464652","POCKY","7.07","170"
"IN0022936","POCKY","14.68","353"
"IN0922823","POCKY","14.06","338"
"IN0578163","POCKY","6.45","155"
"IN0440529","POCKY","1.66","40"
"IN0961566","PUCCHO","134.06","275"
"IN0014565","POCKY","12.77","307"
"IN0957664","MEIJI","102.06","135"
"IN0481167","PUCCHO","164.78","338"
"IN0631844","PUCCHO","71.17","146"
"IN0921408","MEIJI","184.46","244"
"IN0709819","MEIJI","45.36","60"
"IN0554549","PUCCHO","204.75","420"
"IN0962837","PUCCHO","27.3","56"
"IN0931581","POCKY","15.72","378"
"IN0521424","MEIJI","138.35","183"
"IN0572117","PUCCHO","128.21","263"
"IN0214141","POCKY","11.9","286"
"IN0998602","PUCCHO","43.88","90"
"IN0688894","MEIJI","139.1","184"
"IN0515209","PUCCHO","120.41","247"
"IN0404609","POCKY","1.96","47"
"IN0223547","PUCCHO","148.69","305"
"IN0750494","POCKY","2.41","58"
"IN0644642","POCKY","18.01","433"
"IN0562148","PUCCHO","235.46","483"
"IN0626524","POCKY","1.29","31"
"IN0089868","MEIJI","231.34","306"
"IN0764633","POCKY","0.37","9"
"IN0119286","PUCCHO","148.69","305"
"IN0305282","PUCCHO","74.59","153"
