"CUSTOMER_CODE","INVOICE_CODE","AMOUNT","DATE"
"CUST0000074157","IN0889419","177.58","07-Nov-2021"
"CUST0000031533","IN0046914","203.24","14-Jan-2021"
"CUST0000074499","IN0901549","182.81","01-Oct-2021"
"CUST0000025346","IN0699958","435.45","19-Aug-2021"
"CUST0000029978","IN0733563","134.06","03-Dec-2021"
"CUST0000058716","IN0511699","8.78","24-Mar-2021"
"CUST0000002012","IN0506541","247.97","04-Feb-2021"
"CUST0000003601","IN0070021","108.71","17-Jun-2021"
"CUST0000008412","IN0902569","52.92","12-Feb-2021"
"CUST0000031743","IN0901365","249.29","08-Oct-2021"
"CUST0000050045","IN0762034","113.4","05-Apr-2021"
"CUST0000082966","IN0681194","270.58","16-Feb-2021"
"CUST0000068064","IN0426280","469.92","24-Sep-2021"
"CUST0000037403","IN0721972","216.45","10-Apr-2021"
"CUST0000001605","IN0828286","243.43","18-Jan-2021"
"CUST0000080163","IN0001396","187.62","06-Jun-2021"
"CUST0000092942","IN0133276","62.75","29-Dec-2021"
"CUST0000073471","IN0433079","4.08","18-Nov-2021"
"CUST0000083185","IN0819045","352.3","06-Apr-2021"
"CUST0000027456","IN0704105","137.59","22-Sep-2021"
"CUST0000018528","IN0057960","22.13","18-Oct-2021"
"CUST0000050672","IN0742498","231.89","09-May-2021"
"CUST0000030779","IN0842320","318.34","01-Jun-2021"
"CUST0000003030","IN0427118","388.56","27-Jan-2021"
"CUST0000081697","IN0733031","340.96","07-Dec-2021"
"CUST0000008758","IN0751968","339.67","21-Jan-2021"
"CUST0000073206","IN0493048","57.52","01-Feb-2021"
"CUST0000084088","IN0606993","81.43","18-Aug-2021"
"CUST0000090955","IN0027764","390.4","16-Jul-2021"
"CUST0000094985","IN0740575","370.03","12-Sep-2021"
"CUST0000049396","IN0424471","397.75","25-Aug-2021"
"CUST0000060918","IN0507375","40.22","22-Nov-2021"
"CUST0000041315","IN0865362","52.84","05-Oct-2021"
"CUST0000021118","IN0754775","120.83","05-May-2021"
"CUST0000044529","IN0568785","76.54","17-Sep-2021"
"CUST0000034624","IN0166179","31.9","01-Nov-2021"
"CUST0000015028","IN0199646","94.47","25-Jan-2021"
"CUST0000007189","IN0275720","6.78","13-Jan-2021"
"CUST0000081381","IN0142615","7.82","07-Jan-2021"
"CUST0000095991","IN0805201","60.52","23-Aug-2021"
"CUST0000047452","IN0184031","394.61","19-Apr-2021"
"CUST0000044626","IN0733841","134.76","19-Apr-2021"
"CUST0000079104","IN0831323","402.41","01-Feb-2021"
"CUST0000049639","IN0072834","353.43","30-Mar-2021"
"CUST0000049639","IN0257867","155.0","27-Jun-2021"
"CUST0000013083","IN0562345","86.56","23-Jan-2021"
"CUST0000018228","IN0941014","282.67","25-Jun-2021"
"CUST0000025048","IN0275206","114.7","17-Feb-2021"
"CUST0000087512","IN0104888","266.57","10-Dec-2021"
"CUST0000018382","IN0271757","192.73","13-Oct-2021"
"CUST0000084920","IN0848489","39.98","08-Sep-2021"
"CUST0000027445","IN0693510","231.34","10-Aug-2021"
"CUST0000075470","IN0558406","30.71","28-Jan-2021"
"CUST0000079587","IN0722714","9.75","01-Jul-2021"
"CUST0000058811","IN0497575","498.46","18-May-2021"
"CUST0000072596","IN0921408","231.33","19-Mar-2021"
"CUST0000085285","IN0193940","7.45","25-Aug-2021"
"CUST0000057704","IN0198507","206.74","03-Nov-2021"
"CUST0000083319","IN0452317","7.74","07-Mar-2021"
"CUST0000052172","IN0092051","194.57","06-Nov-2021"
"CUST0000067077","IN0843968","230.07","29-Dec-2021"
"CUST0000017207","IN0316679","358.34","09-Aug-2021"
"CUST0000068343","IN0161180","65.77","03-Mar-2021"
"CUST0000035754","IN0245036","292.62","31-Aug-2021"
"CUST0000002679","IN0634484","454.0","07-Mar-2021"
"CUST0000095495","IN0787127","189.15","09-Apr-2021"
"CUST0000073219","IN0125576","418.76","14-Dec-2021"
"CUST0000081225","IN0442527","263.79","17-Aug-2021"
"CUST0000070494","IN0505559","12.77","22-Dec-2021"
"CUST0000060284","IN0240159","6.99","19-May-2021"
"CUST0000048040","IN0936609","226.53","30-Aug-2021"
"CUST0000033619","IN0814357","755.23","03-Jul-2021"
"CUST0000053728","IN0263814","14.81","10-Apr-2021"
"CUST0000053366","IN0358258","170.09","22-May-2021"
"CUST0000070426","IN0249416","36.95","06-Oct-2021"
"CUST0000069585","IN0370222","18.84","05-Nov-2021"
"CUST0000072185","IN0794507","332.12","31-Mar-2021"
"CUST0000099414","IN0548510","238.39","04-Apr-2021"
"CUST0000097298","IN0148003","224.22","30-Jan-2021"
"CUST0000018382","IN0720624","713.05","02-May-2021"
"CUST0000097078","IN0181326","18.14","19-Feb-2021"
"CUST0000013063","IN0754488","493.41","08-Feb-2021"
"CUST0000002575","IN0347040","372.51","15-Feb-2021"
"CUST0000067077","IN0598420","174.63","03-Jul-2021"
"CUST0000054073","IN0240708","157.95","22-Feb-2021"
"CUST0000063088","IN0572107","224.26","24-Oct-2021"
"CUST0000024169","IN0271479","168.42","05-Jun-2021"
"CUST0000057704","IN0633740","117.18","28-Oct-2021"
"CUST0000007132","IN0133006","141.38","25-Mar-2021"
"CUST0000074230","IN0665483","293.33","22-Sep-2021"
"CUST0000067381","IN0077189","415.8","09-Jun-2021"
"CUST0000018528","IN0381403","0.75","17-Mar-2021"
"CUST0000041296","IN0771557","362.12","26-Oct-2021"
"CUST0000040013","IN0634278","732.44","31-Aug-2021"
"CUST0000097396","IN0643741","384.76","20-Oct-2021"
"CUST0000044208","IN0184304","293.7","06-Nov-2021"
"CUST0000057293","IN0708124","20.76","26-Aug-2021"
"CUST0000097471","IN0568213","630.5","12-May-2021"
"CUST0000014857","IN0628538","13.73","08-Sep-2021"
"CUST0000062187","IN0590210","15.16","09-Nov-2021"
"CUST0000052576","IN0308962","12.15","05-Nov-2021"
"CUST0000082498","IN0174081","217.93","16-Mar-2021"
"CUST0000043784","IN0907697","112.12","28-Jun-2021"
"CUST0000022925","IN0698319","371.51","26-Oct-2021"
"CUST0000029850","IN0886892","7.7","03-Nov-2021"
"CUST0000028577","IN0228588","644.27","02-Mar-2021"
"CUST0000098153","IN0812917","12.4","29-Jan-2021"
"CUST0000079212","IN0657186","371.47","10-Oct-2021"
"CUST0000052252","IN0887220","455.11","14-Feb-2021"
"CUST0000035771","IN0545047","2.75","02-Jun-2021"
"CUST0000013338","IN0665162","243.26","10-May-2021"
"CUST0000009902","IN0392309","880.81","12-Jun-2021"
"CUST0000097095","IN0155669","154.64","14-Sep-2021"
"CUST0000079843","IN0420305","55.96","17-May-2021"
"CUST0000001098","IN0703010","210.42","02-Jul-2021"
"CUST0000090225","IN0141257","299.38","30-Jan-2021"
"CUST0000071956","IN0066826","7.99","29-Nov-2021"
"CUST0000022849","IN0779255","357.69","09-Jul-2021"
"CUST0000087219","IN0235801","385.68","24-Jan-2021"
"CUST0000041315","IN0837973","216.45","29-Mar-2021"
"CUST0000037145","IN0317165","389.26","03-Sep-2021"
"CUST0000058463","IN0446332","501.57","17-Aug-2021"
"CUST0000073660","IN0222177","217.91","20-Feb-2021"
"CUST0000021406","IN0363464","9.61","23-Jun-2021"
"CUST0000004134","IN0090401","58.55","11-Apr-2021"
"CUST0000066059","IN0840186","36.56","01-Feb-2021"
"CUST0000094918","IN0425404","279.87","13-Dec-2021"
"CUST0000011867","IN0366675","79.13","10-Sep-2021"
"CUST0000086928","IN0970391","158.76","12-Jun-2021"
"CUST0000011238","IN0843309","75.08","24-Jun-2021"
"CUST0000048036","IN0087048","271.77","28-Jan-2021"
"CUST0000038302","IN0761256","2.2","18-Jan-2021"
"CUST0000011867","IN0737001","160.72","06-Apr-2021"
"CUST0000030886","IN0315454","75.08","13-Jun-2021"
"CUST0000046041","IN0823806","306.84","25-Apr-2021"
"CUST0000037930","IN0603065","125.27","01-Aug-2021"
"CUST0000051494","IN0673414","1.83","18-May-2021"
"CUST0000035412","IN0049287","121.57","20-Feb-2021"
"CUST0000006781","IN0475707","142.84","02-May-2021"
"CUST0000012907","IN0538656","12.28","06-Jan-2021"
"CUST0000041075","IN0832878","213.95","28-Jun-2021"
"CUST0000004209","IN0123434","542.46","31-Dec-2021"
"CUST0000016941","IN0421274","361.76","09-Oct-2021"
"CUST0000022936","IN0428228","148.24","21-Feb-2021"
"CUST0000054957","IN0066580","278.85","02-Sep-2021"
"CUST0000054248","IN0839527","61.6","03-Jan-2021"
"CUST0000097578","IN0860204","5.85","23-Sep-2021"
"CUST0000094932","IN0299823","61.06","15-Sep-2021"
"CUST0000080945","IN0759410","125.11","07-Jun-2021"
"CUST0000091981","IN0969701","81.97","01-Jul-2021"
"CUST0000009646","IN0990345","128.21","24-Sep-2021"
"CUST0000042311","IN0765527","24.17","24-Aug-2021"
"CUST0000086266","IN0516736","31.2","05-Feb-2021"
"CUST0000062817","IN0217846","253.99","13-Dec-2021"
"CUST0000051693","IN0510216","59.96","19-Aug-2021"
"CUST0000030900","IN0100663","621.88","09-Nov-2021"
"CUST0000040507","IN0014932","363.76","25-Dec-2021"
"CUST0000006611","IN0862523","413.62","29-Jan-2021"
"CUST0000010837","IN0697220","217.42","15-May-2021"
"CUST0000058610","IN0745836","261.6","02-Jan-2021"
"CUST0000079976","IN0860974","8.16","29-May-2021"
"CUST0000015028","IN0287354","287.02","20-Jun-2021"
"CUST0000063483","IN0136708","140.17","27-Jun-2021"
"CUST0000039023","IN0832741","13.64","02-Apr-2021"
"CUST0000018596","IN0656669","510.95","20-Dec-2021"
"CUST0000049282","IN0695697","531.47","06-Nov-2021"
"CUST0000066661","IN0985735","76.36","16-Oct-2021"
"CUST0000046743","IN0625387","171.6","25-Jul-2021"
"CUST0000091394","IN0034409","635.27","25-Apr-2021"
"CUST0000003576","IN0332724","713.07","30-Dec-2021"
"CUST0000040789","IN0841845","468.75","19-Jul-2021"
"CUST0000093932","IN0751808","153.56","21-Nov-2021"
"CUST0000072185","IN0709583","110.19","26-Sep-2021"
"CUST0000060167","IN0723392","11.21","27-May-2021"
"CUST0000050189","IN0522159","156.1","05-Mar-2021"
"CUST0000053288","IN0218780","244.12","27-Oct-2021"
"CUST0000002702","IN0816609","15.72","09-Dec-2021"
"CUST0000071068","IN0010000","1.0","23-Jan-2021"
"CUST0000075634","IN0116561","57.46","16-Jul-2021"
"CUST0000043597","IN0160508","14.27","14-Apr-2021"
"CUST0000098725","IN0297686","126.25","16-Mar-2021"
"CUST0000069891","IN0369480","3.37","04-Oct-2021"
"CUST0000071489","IN0216419","298.4","15-Sep-2021"
"CUST0000058888","IN0930479","1186.65","07-Feb-2021"
"CUST0000036338","IN0271524","208.45","17-Aug-2021"
"CUST0000037223","IN0370360","517.86","08-Oct-2021"
"CUST0000014190","IN0910479","391.63","18-Sep-2021"
"CUST0000002702","IN0201767","358.86","10-Oct-2021"
"CUST0000067895","IN0647952","10.9","28-Sep-2021"
"CUST0000044626","IN0510724","212.55","31-May-2021"
"CUST0000027748","IN0329052","274.95","16-May-2021"
"CUST0000021981","IN0208692","459.64","08-Jan-2021"
"CUST0000092994","IN0056372","311.32","23-Jan-2021"
"CUST0000058321","IN0669307","200.34","20-Apr-2021"
"CUST0000001954","IN0002628","501.57","02-Mar-2021"
"CUST0000094932","IN0478597","101.4","25-Jan-2021"
"CUST0000030779","IN0885428","474.15","02-Mar-2021"
"CUST0000099052","IN0092825","128.39","20-Jul-2021"
"CUST0000066661","IN0069194","192.91","11-Jul-2021"
"CUST0000067500","IN0595676","338.81","20-Nov-2021"
"CUST0000023434","IN0678677","4.83","11-Sep-2021"
"CUST0000005170","IN0944921","294.24","18-Mar-2021"
"CUST0000072596","IN0076468","20.68","27-May-2021"
"CUST0000095642","IN0795125","14.77","23-Apr-2021"
"CUST0000048012","IN0604788","221.03","18-Nov-2021"
"CUST0000025492","IN0045712","351.44","12-Sep-2021"
"CUST0000019817","IN0400079","199.88","14-Jan-2021"
"CUST0000067875","IN0273561","306.36","14-Jan-2021"
"CUST0000019011","IN0220298","246.46","28-Apr-2021"
"CUST0000095163","IN0842040","21.92","10-Jan-2021"
"CUST0000038244","IN0882642","571.11","04-May-2021"
"CUST0000061383","IN0186715","332.46","01-Oct-2021"
"CUST0000001246","IN0426943","387.22","13-Feb-2021"
"CUST0000054709","IN0347504","102.46","21-Apr-2021"
"CUST0000016603","IN0334361","163.24","11-May-2021"
"CUST0000007154","IN0032038","579.88","20-Dec-2021"
"CUST0000085202","IN0214061","629.1","25-Dec-2021"
"CUST0000041167","IN0657667","687.14","15-Sep-2021"
"CUST0000077936","IN0038814","131.54","24-Apr-2021"
"CUST0000003379","IN0093531","222.83","30-Dec-2021"
"CUST0000061251","IN0511604","179.93","25-Jul-2021"
"CUST0000094985","IN0418903","16.72","09-Sep-2021"
"CUST0000049762","IN0571476","371.87","02-Jun-2021"
"CUST0000093719","IN0779288","160.87","18-Nov-2021"
"CUST0000050754","IN0582699","10.07","01-Aug-2021"
"CUST0000058351","IN0019642","48.38","14-Sep-2021"
"CUST0000016603","IN0609758","231.56","13-Aug-2021"
"CUST0000037059","IN0607955","249.04","17-Oct-2021"
"CUST0000031533","IN0604249","95.98","23-May-2021"
"CUST0000051009","IN0026420","59.51","30-Jul-2021"
"CUST0000044003","IN0649542","22.05","16-May-2021"
"CUST0000054709","IN0656174","27.79","14-Apr-2021"
"CUST0000070884","IN0526480","299.31","18-May-2021"
"CUST0000070886","IN0000549","61.42","13-Mar-2021"
"CUST0000082585","IN0122365","314.29","29-Nov-2021"
"CUST0000057058","IN0532038","142.19","13-Sep-2021"
"CUST0000049372","IN0664055","130.33","22-Aug-2021"
"CUST0000062296","IN0367496","101.07","20-Nov-2021"
"CUST0000028916","IN0813788","97.73","11-Jan-2021"
"CUST0000062026","IN0103436","519.1","16-Feb-2021"
"CUST0000029303","IN0573860","223.28","11-Mar-2021"
"CUST0000079056","IN0669361","13.44","14-Aug-2021"
"CUST0000061007","IN0568242","595.27","14-Sep-2021"
"CUST0000037403","IN0075841","31.69","08-Aug-2021"
"CUST0000082585","IN0545265","318.28","01-Jan-2021"
"CUST0000061320","IN0095373","383.63","22-Nov-2021"
"CUST0000054108","IN0077713","146.25","08-Aug-2021"
"CUST0000068062","IN0246519","467.97","06-Sep-2021"
"CUST0000030886","IN0567610","110.66","11-Nov-2021"
"CUST0000056581","IN0835114","62.75","08-Feb-2021"
"CUST0000021192","IN0667646","10.44","23-Jul-2021"
"CUST0000043784","IN0250980","151.61","19-Feb-2021"
"CUST0000050136","IN0834137","352.42","02-Oct-2021"
"CUST0000078426","IN0143157","314.44","30-Jan-2021"
"CUST0000017158","IN0005489","123.23","07-Jan-2021"
"CUST0000006781","IN0441664","196.01","23-Feb-2021"
"CUST0000016577","IN0935989","144.25","07-Oct-2021"
"CUST0000072087","IN0495309","362.88","11-Feb-2021"
"CUST0000085591","IN0625031","509.1","17-Apr-2021"
"CUST0000054022","IN0975761","530.72","31-May-2021"
"CUST0000025521","IN0350503","288.07","16-May-2021"
"CUST0000083784","IN0872841","18.42","27-Feb-2021"
"CUST0000025221","IN0625235","186.73","25-Apr-2021"
"CUST0000091239","IN0302000","17.97","06-Mar-2021"
"CUST0000015767","IN0313360","1.25","30-Jan-2021"
"CUST0000065912","IN0615138","1.37","23-Jun-2021"
"CUST0000040013","IN0658339","41.58","05-Apr-2021"
"CUST0000003547","IN0554970","13.31","13-Mar-2021"
"CUST0000074024","IN0744375","429.7","15-May-2021"
"CUST0000043099","IN0090459","17.39","21-Sep-2021"
"CUST0000015360","IN0195345","203.78","17-Feb-2021"
"CUST0000042502","IN0370300","37.7","19-Feb-2021"
"CUST0000026900","IN0835888","247.21","19-May-2021"
"CUST0000038685","IN0284819","448.01","20-Jul-2021"
"CUST0000044102","IN0880199","31.66","03-Apr-2021"
"CUST0000061320","IN0212613","260.28","16-Nov-2021"
"CUST0000019240","IN0175975","745.76","11-Apr-2021"
"CUST0000044003","IN0396638","450.22","31-Oct-2021"
"CUST0000026900","IN0696955","119.03","23-Jan-2021"
"CUST0000052974","IN0610294","59.72","04-Apr-2021"
"CUST0000025221","IN0951199","152.39","12-Apr-2021"
"CUST0000096512","IN0552044","319.14","27-Jun-2021"
"CUST0000060997","IN0074396","242.38","24-Apr-2021"
"CUST0000025492","IN0340133","128.73","29-May-2021"
"CUST0000057811","IN0531098","111.64","15-Sep-2021"
"CUST0000099414","IN0602276","238.03","12-May-2021"
"CUST0000051431","IN0188812","227.92","04-Feb-2021"
"CUST0000013081","IN0379082","35.07","04-Mar-2021"
"CUST0000062358","IN0102705","0.37","01-Sep-2021"
"CUST0000035229","IN0065330","151.96","26-Oct-2021"
